imgps_x,imgps_y,u,v,objps_x,objps_y
700.377975,2597.813873,331.9835655,896.6008046,-17.5,-12.5
881.5443734,2586.70912,359.3356599,891.1161652,-15,-12.5
1062.71493,2575.652113,386.2941292,885.938421,-12.5,-12.5
1243.818741,2564.610816,413.0959251,880.5825372,-10,-12.5
1424.831247,2553.520816,439.6829203,875.4666149,-7.5,-12.5
1605.887089,2542.441684,465.7282174,870.4747352,-5,-12.5
1786.925956,2531.371608,491.6808266,865.4086585,-2.5,-12.5
1967.974725,2520.321959,517.2745448,859.984495,0,-12.5
2148.912942,2509.254811,542.562806,855.1325512,2.5,-12.5
2329.924253,2498.165913,567.6968321,850.3458301,5,-12.5
2510.887522,2487.071255,592.5531683,845.4988849,7.5,-12.5
2691.825611,2476.038556,617.2962004,840.6321333,10,-12.5
2872.875809,2464.965119,641.4774665,835.9326765,12.5,-12.5
3053.818319,2453.858458,665.6747369,831.1315742,15,-12.5
3234.858953,2442.772941,689.4771645,826.2872175,17.5,-12.5
689.4385672,2417.819605,331.8109806,836.0384493,-17.5,-10
870.62215,2406.764056,359.2740452,830.9403298,-15,-10
1051.742036,2395.648966,386.2080408,825.6960953,-12.5,-10
1232.868717,2384.560373,413.0910684,820.8596257,-10,-10
1413.923202,2373.499631,439.6735724,815.9672795,-7.5,-10
1594.913977,2362.461559,465.8335131,811.2276713,-5,-10
1775.929275,2351.430873,491.7871016,806.4742324,-2.5,-10
1956.956064,2340.365488,517.4768116,801.6163623,0,-10
2137.938083,2329.31345,542.8186939,796.9424691,2.5,-10
2318.917236,2318.213105,567.9436537,792.4040639,5,-10
2499.912672,2307.136536,592.8802474,787.7930635,7.5,-10
2680.938725,2296.017753,617.5642539,783.1954824,10,-10
2861.91783,2284.956608,641.8058265,778.7431838,12.5,-10
3042.882878,2273.845753,665.9586515,774.1989158,15,-10
3223.823387,2262.790156,689.7931155,769.7275122,17.5,-10
678.4798469,2237.790236,331.6823704,775.1931378,-17.5,-7.5
859.6512813,2226.722727,359.1640004,770.394579,-15,-7.5
1040.814934,2215.669683,386.2178623,765.5725311,-12.5,-7.5
1221.915497,2204.580859,413.1159277,760.9828626,-10,-7.5
1402.89947,2193.505319,439.6232076,756.3977293,-7.5,-7.5
1583.942102,2182.448641,465.9205785,751.9499082,-5,-7.5
1764.971563,2171.419389,491.873225,747.2729785,-2.5,-7.5
1945.943242,2160.3317,517.533417,742.8918162,0,-7.5
2126.972189,2149.328314,543.0010586,738.5402761,2.5,-7.5
2307.997019,2138.261695,568.1679152,734.2658855,5,-7.5
2488.943139,2127.126816,593.0288915,729.8014646,7.5,-7.5
2669.979125,2116.02293,617.7762345,725.5927073,10,-7.5
2850.964994,2104.976694,642.1173316,721.515754,12.5,-7.5
3031.952384,2093.874478,666.3522472,717.3758304,15,-7.5
3212.928572,2082.777786,690.1333203,713.1200199,17.5,-7.5
667.4651406,2057.73873,331.5647501,714.0981079,-17.5,-5
848.6809156,2046.660188,359.1057502,709.7247614,-15,-5
1029.85487,2035.633569,386.143691,705.3571402,-12.5,-5
1210.951009,2024.570625,413.1202181,700.8351994,-10,-5
1391.960227,2013.475427,439.7275012,696.6093842,-7.5,-5
1572.953414,2002.43467,465.9596605,692.3266754,-5,-5
1753.970297,1991.403966,492.0161688,688.2281415,-2.5,-5
1934.997612,1980.370622,517.6435683,684.2257251,0,-5
2115.986628,1969.263866,543.1075343,680.1449985,2.5,-5
2296.980855,1958.176763,568.3117754,675.9365499,5,-5
2477.965817,1947.077375,593.4223271,671.9419081,7.5,-5
2659.008425,1936.018359,618.0397417,667.7598348,10,-5
2840.026045,1924.983127,642.4266795,664.1381381,12.5,-5
3021.000052,1913.874489,666.7310172,660.124357,15,-5
3201.943041,1902.7488,690.5534284,656.3732158,17.5,-5
656.4840109,1877.682577,331.5204439,652.8937746,-17.5,-2.5
837.7391406,1866.634352,358.9981288,648.7944565,-15,-2.5
1018.843222,1855.586175,386.1364762,644.6560758,-12.5,-2.5
1199.978441,1844.555567,413.0621756,640.7088315,-10,-2.5
1381.040558,1833.498762,439.7755707,636.7114097,-7.5,-2.5
1561.967325,1822.477105,465.9578288,632.7537197,-5,-2.5
1742.97727,1811.385727,492.0462142,628.9765374,-2.5,-2.5
1924.004114,1800.302947,517.8054931,625.0560268,0,-2.5
2104.872353,1789.263811,543.3230788,621.4287315,2.5,-2.5
2285.985247,1778.13025,568.5341877,617.5655686,5,-2.5
2467.023234,1767.098397,593.5634893,613.8216425,7.5,-2.5
2647.962416,1755.9554,618.2494444,610.0583803,10,-2.5
2829.001934,1744.984467,642.6296337,606.4989842,12.5,-2.5
3010.047777,1733.902213,666.9551188,602.9441486,15,-2.5
3190.979791,1722.7846,690.8780705,599.4085329,17.5,-2.5
645.5296906,1697.593914,331.3187196,591.4864652,-17.5,0
826.7122391,1686.545242,358.9195218,587.8432493,-15,0
1007.86592,1675.536795,386.0603675,584.0194154,-12.5,0
1188.926528,1664.542191,413.0037956,580.2442863,-10,0
1370.00345,1653.524756,439.7268474,576.5721455,-7.5,0
1551.04127,1642.492475,466.0324778,572.9676163,-5,0
1732.018184,1631.428609,492.1811411,569.4323073,-2.5,0
1913.090777,1620.387741,517.9470114,566.037096,0,0
2094.045241,1609.319105,543.4505082,562.6572251,2.5,0
2275.044181,1598.180567,568.7410673,559.1059795,5,0
2456.042675,1587.067575,593.7160631,555.6380203,7.5,0
2637.024545,1575.965553,618.5360728,552.0285645,10,0
2818.009917,1564.905116,642.9917709,548.679835,12.5,0
2999.024125,1553.889945,667.2902196,545.511029,15,0
3179.952802,1542.816842,691.2016114,542.235681,17.5,0
634.5353578,1517.533522,331.2507857,530.1480501,-17.5,2.5
815.7388547,1506.463373,358.8225175,526.6577791,-15,2.5
996.8794859,1495.493358,385.9434308,523.3399004,-12.5,2.5
1177.911739,1484.470222,412.9881647,519.71335,-10,2.5
1358.92797,1473.464994,439.6994753,516.4924414,-7.5,2.5
1540.057614,1462.444634,466.0537618,513.1770216,-5,2.5
1721.000238,1451.400353,492.2332693,509.7781758,-2.5,2.5
1902.124009,1440.403497,518.0571219,506.721471,0,2.5
2083.133567,1429.316742,543.6510891,503.5640753,2.5,2.5
2264.051111,1418.270902,568.92919,500.565358,5,2.5
2445.067563,1407.140214,593.922615,497.1328043,7.5,2.5
2626.053525,1396.038722,618.8046793,494.0536318,10,2.5
2807.017345,1385.014939,643.2541565,490.881501,12.5,2.5
2988.004695,1373.921317,667.6390162,487.9051097,15,2.5
3168.983427,1362.916755,691.5406966,484.9862024,17.5,2.5
623.6014922,1337.462503,331.1213107,468.5055259,-17.5,5
804.7424375,1326.460455,358.7876281,465.2858272,-15,5
985.8671891,1315.386233,385.9187669,462.1430102,-12.5,5
1166.849397,1304.415409,413.0016048,459.0164389,-10,5
1347.918334,1293.410773,439.7685816,455.9912816,-7.5,5
1528.940805,1282.440328,466.1778603,453.1257127,-5,5
1709.990827,1271.382088,492.3447918,450.1777102,-2.5,5
1891.046103,1260.405206,518.2004188,447.2320525,0,5
2072.113542,1249.358484,543.7556879,444.4817468,2.5,5
2253.156314,1238.282831,569.1088716,441.5974258,5,5
2434.080827,1227.240931,594.2023225,438.831216,7.5,5
2615.115786,1216.146528,619.035229,435.7004486,10,5
2796.090794,1205.043784,643.5647461,432.9287436,12.5,5
